      80001     7.22900   102.51920          0.00000     -8.4585      0.0050	    -9.785	    -8.461	    -9.475
      80001     7.27850   102.53720          0.00000     -8.5595      0.0050	    -9.888	    -8.560	    -9.570
      80001     7.32780   102.55520          0.00000     -8.6728      0.0050	    -9.999	    -8.680	    -9.675
      80001     7.37690   102.57310          0.00000     -8.7918      0.0050	   -10.109	    -8.798	    -9.782
      80001     7.42600   102.59090          0.00000     -8.8992      0.0050	   -10.214	    -8.903	    -9.878
      80001     7.47510   102.60880          0.00000     -9.0201      0.0050	   -10.320	    -9.025	    -9.987
      80001     7.52390   102.62670          0.00000     -9.1370      0.0050	   -10.426	    -9.137	   -10.090
      80001     7.57250   102.64430         -0.00000     -9.2530      0.0050	   -10.528	    -9.251	   -10.196
      80001     7.62130   102.66220         -0.00000     -9.3529      0.0050	   -10.623	    -9.351	   -10.286
      80001     7.66990   102.67990         -0.00000     -9.4517      0.0050	   -10.715	    -9.451	   -10.375
      80001     7.71870   102.69780         -0.00000     -9.5347      0.0050	   -10.798	    -9.531	   -10.449
      80001     7.76830   102.71580         -0.00000     -9.6113      0.0050	   -10.874	    -9.610	   -10.519
      80001     7.81780   102.73390         -0.00000     -9.6864      0.0050	   -10.944	    -9.683	   -10.586
      80001     7.86660   102.75170         -0.00000     -9.7567      0.0050	   -11.015	    -9.753	   -10.645
      80001     7.91530   102.76960          0.00000     -9.8276      0.0050	   -11.083	    -9.830	   -10.713
      80001     7.96460   102.78760          0.00000     -9.8846      0.0050	   -11.144	    -9.888	   -10.760
      80001     8.01360   102.80550          0.00000     -9.9436      0.0050	   -11.199	    -9.947	   -10.811
      80001     8.06220   102.82330          0.00000    -10.0028      0.0050	   -11.250	   -10.003	   -10.861
      80001     8.11120   102.84120          0.00000    -10.0469      0.0050	   -11.297	   -10.052	   -10.898
      80001     8.16050   102.85930         -0.00000    -10.0966      0.0050	   -11.345	   -10.093	   -10.937
      80001     8.21020   102.87750         -0.00000    -10.1476      0.0050	   -11.400	   -10.139	   -10.978
      80001     8.25910   102.89540         -0.00000    -10.2005      0.0050	   -11.457	   -10.195	   -11.023
      80001     8.30760   102.91320         -0.00000    -10.2585      0.0050	   -11.513	   -10.250	   -11.076
      80001     8.35650   102.93120         -0.00000    -10.3154      0.0050	   -11.573	   -10.312	   -11.130
      80001     8.40560   102.94910         -0.00000    -10.3588      0.0050	   -11.630	   -10.355	   -11.168
      80001     8.45480   102.96720         -0.00000    -10.3998      0.0050	   -11.674	   -10.390	   -11.201
      80001     8.50400   102.98530         -0.00000    -10.4323      0.0050	   -11.708	   -10.428	   -11.235
      80001     8.55290   103.00320         -0.00000    -10.4670      0.0050	   -11.745	   -10.463	   -11.269
      80001     8.60160   103.02110         -0.00000    -10.4997      0.0050	   -11.785	   -10.498	   -11.299
      80001     8.65030   103.03900         -0.00000    -10.5450      0.0050	   -11.829	   -10.541	   -11.342
      80001     8.69850   103.05670         -0.00000    -10.6028      0.0050	   -11.884	   -10.601	   -11.402
      80001     8.74600   103.07410         -0.00000    -10.6680      0.0050	   -11.950	   -10.667	   -11.470
      80001     8.79340   103.09160          0.00000    -10.7358      0.0050	   -12.018	   -10.740	   -11.538
